Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore,symbol
2025-09-20,115632.39,116121.81,115408.47,115685.63,4674.92752,2025-09-20 23:59:59.999,541264273.2416894,740451,2276.16483,263511469.8432588,0,BTCUSDT
2025-09-21,115685.63,115819.06,115188.0,115232.29,4511.52219,2025-09-21 23:59:59.999,521299751.1504096,945965,2016.72489,233031538.74699312,0,BTCUSDT
2025-09-22,115232.29,115379.25,111800.0,112650.99,20781.71356,2025-09-22 23:59:59.999,2348872511.6988754,3045876,9312.35777,1052684266.8981876,0,BTCUSDT
2025-09-23,112650.99,113290.5,111458.73,111998.8,12301.3203,2025-09-23 23:59:59.999,1383869800.273703,2455729,5543.3609,623665658.7200328,0,BTCUSDT
2025-09-24,111998.8,113940.0,111042.66,113307.0,12369.25967,2025-09-24 23:59:59.999,1394470628.502582,2229837,6100.69487,687826281.220477,0,BTCUSDT
2025-09-25,113307.01,113510.23,108631.51,108994.49,21231.14957,2025-09-25 23:59:59.999,2356639689.9252143,4409953,9511.07937,1055527535.7684448,0,BTCUSDT
2025-09-26,108994.49,110300.0,108620.07,109643.46,14243.01591,2025-09-26 23:59:59.999,1557098915.9392595,3257155,6978.29033,762955442.7524,0,BTCUSDT
2025-09-27,109643.46,109743.91,109064.4,109635.85,5501.78643,2025-09-27 23:59:59.999,601947588.9970765,919594,2523.25886,276080500.9941954,0,BTCUSDT
2025-09-28,109635.85,112350.0,109189.99,112163.95,7542.3316,2025-09-28 23:59:59.999,832254944.3203354,1484866,3781.87606,417495757.16935,0,BTCUSDT
2025-09-29,112163.96,114400.0,111560.65,114311.96,15541.12005,2025-09-29 23:59:59.999,1755247635.871136,2442653,7836.68768,884934987.568753,0,BTCUSDT
2025-09-30,114311.97,114792.0,112656.27,114048.93,15044.15633,2025-09-30 23:59:59.999,1710713267.1300955,3018331,7185.72154,817044461.2701814,0,BTCUSDT
2025-10-01,114048.94,118649.1,113966.67,118594.99,20036.39516,2025-10-01 23:59:59.999,2332096981.265933,3430343,10071.04092,1172422657.4065175,0,BTCUSDT
2025-10-02,118594.99,121022.07,118279.31,120529.35,19670.83503,2025-10-02 23:59:59.999,2349861127.34458,3472073,9753.07848,1164986423.9898076,0,BTCUSDT
2025-10-03,120529.35,123894.99,119248.3,122232.0,23936.328,2025-10-03 23:59:59.999,2907381076.6813188,4246820,11288.62355,1372792607.6136215,0,BTCUSDT
2025-10-04,122232.21,122800.0,121510.0,122391.0,8208.16678,2025-10-04 23:59:59.999,1002272903.3446472,1703590,3767.80335,460154433.12366194,0,BTCUSDT
2025-10-05,122390.99,125708.42,122136.0,123482.31,22043.097553,2025-10-05 23:59:59.999,2730817470.939564,3690670,11780.672403,1459478400.9109964,0,BTCUSDT
2025-10-06,123482.32,126199.63,123084.0,124658.54,19494.628793,2025-10-06 23:59:59.999,2428828952.2653184,4206167,9963.008153,1241625129.7177184,0,BTCUSDT
2025-10-07,124658.54,125126.0,120574.94,121332.95,21633.99385,2025-10-07 23:59:59.999,2657405799.8705487,4390785,9699.35099,1191947741.6989057,0,BTCUSDT
2025-10-08,121332.96,124197.25,121066.14,123306.0,17012.618,2025-10-08 23:59:59.999,2084842842.4416168,4184997,9039.06222,1107976264.6948595,0,BTCUSDT
2025-10-09,123306.01,123762.94,119651.47,121662.4,21559.36007,2025-10-09 23:59:59.999,2621438087.566733,4231167,10144.15364,1233882833.5642388,0,BTCUSDT
2025-10-10,121662.41,122550.0,102000.0,112774.5,64171.93927,2025-10-10 23:59:59.999,7349750905.041157,11404522,30502.14297,3493298452.846008,0,BTCUSDT
2025-10-11,112774.49,113322.39,109561.59,110644.4,35448.51652,2025-10-11 23:59:59.999,3961069473.231136,6661929,15375.94796,1718429599.5669522,0,BTCUSDT
2025-10-12,110644.4,115770.0,109565.06,114958.8,32255.30272,2025-10-12 23:59:59.999,3638546528.740156,6048575,16915.44533,1907676479.1772509,0,BTCUSDT
2025-10-13,114958.81,115963.81,113616.5,115166.0,22557.24033,2025-10-13 23:59:59.999,2591831660.985749,5739352,10710.89723,1230950583.8424664,0,BTCUSDT
2025-10-14,115166.0,115409.96,109866.0,113028.14,31870.32974,2025-10-14 23:59:59.999,3578140778.808499,7425642,14944.19197,1677011392.6343808,0,BTCUSDT
2025-10-15,113028.13,113612.35,110164.0,110763.28,22986.48811,2025-10-15 23:59:59.999,2569639641.352769,5243141,10499.31831,1173678794.920774,0,BTCUSDT
2025-10-16,110763.28,111982.45,107427.0,108194.28,29857.17252,2025-10-16 23:59:59.999,3277596494.7619195,6127094,13126.95119,1441416875.126377,0,BTCUSDT
2025-10-17,108194.27,109240.0,103528.23,106431.68,37920.66838,2025-10-17 23:59:59.999,4022645635.2212014,7570685,17996.99946,1909654487.4562209,0,BTCUSDT
2025-10-18,106431.68,107499.0,106322.2,107185.01,11123.18766,2025-10-18 23:59:59.999,1189002999.143113,2105450,4845.85641,518065716.6618129,0,BTCUSDT
2025-10-19,107185.0,109450.07,106103.36,108642.78,15480.66423,2025-10-19 23:59:59.999,1670074079.5802343,3205640,7100.31013,766423535.8177378,0,BTCUSDT
2025-10-20,108642.77,111705.56,107402.52,110532.09,19193.4416,2025-10-20 23:59:59.999,2119912185.5934684,4283542,9280.50075,1024925788.7216992,0,BTCUSDT
2025-10-21,110532.09,114000.0,107473.72,108297.67,37228.01659,2025-10-21 23:59:59.999,4114477849.9320545,6004063,17034.07155,1881327751.3346128,0,BTCUSDT
2025-10-22,108297.66,109163.88,106666.69,107567.44,28610.78451,2025-10-22 23:59:59.999,3090291706.4439816,5547903,13766.58861,1487179903.5999787,0,BTCUSDT
2025-10-23,107567.45,111293.61,107500.0,110078.18,17573.09294,2025-10-23 23:59:59.999,1924582289.4113936,3721614,8575.33716,938905317.7034109,0,BTCUSDT
2025-10-24,110078.19,112104.98,109700.01,111004.89,15005.16913,2025-10-24 23:59:59.999,1662806764.9533324,3241022,7511.2434,832390454.8076226,0,BTCUSDT
2025-10-25,111004.9,111943.19,110672.86,111646.27,6407.96864,2025-10-25 23:59:59.999,714201332.9751225,1238199,3087.0866,344113931.7999452,0,BTCUSDT
2025-10-26,111646.27,115466.8,111260.45,114559.4,13454.47737,2025-10-26 23:59:59.999,1525108635.874829,2463951,6982.18154,791462349.3516057,0,BTCUSDT
2025-10-27,114559.41,116400.0,113830.01,114107.65,21450.23241,2025-10-27 23:59:59.999,2470872744.548968,3660488,10969.70182,1263753536.9973898,0,BTCUSDT
2025-10-28,114107.65,116086.0,112211.0,112898.45,15523.42257,2025-10-28 23:59:59.999,1772753529.8642745,3829845,7765.31574,887031686.0163724,0,BTCUSDT
2025-10-29,112898.44,113643.73,109200.0,110021.29,21079.71376,2025-10-29 23:59:59.999,2356715986.5335455,4481480,10407.07233,1163985607.3569083,0,BTCUSDT
2025-10-30,110021.3,111592.0,106304.34,108322.88,25988.82838,2025-10-30 23:59:59.999,2827221287.4227977,6373451,12551.13144,1365671836.7455924,0,BTCUSDT
2025-10-31,108322.87,111190.0,108275.28,109608.01,21518.20439,2025-10-31 23:59:59.999,2361590437.9414105,5256872,10798.53938,1185034290.9237795,0,BTCUSDT
2025-11-01,109608.01,110564.49,109394.81,110098.1,7378.50431,2025-11-01 23:59:59.999,812389216.4346799,1994214,3406.68401,375126956.08097214,0,BTCUSDT
2025-11-02,110098.1,111250.01,109471.34,110540.68,12107.00087,2025-11-02 23:59:59.999,1336870531.1415012,2652188,5921.86453,654016950.2549777,0,BTCUSDT
2025-11-03,110540.69,110750.0,105306.56,106583.04,28681.18779,2025-11-03 23:59:59.999,3076006652.001568,7074546,12847.08574,1377869106.6681776,0,BTCUSDT
2025-11-04,106583.05,107299.0,98944.36,101497.22,50534.87376,2025-11-04 23:59:59.999,5197697635.212413,9099609,23388.99033,2406186713.1705294,0,BTCUSDT
2025-11-05,101497.23,104534.74,98966.8,103885.16,33778.77571,2025-11-05 23:59:59.999,3454273922.7003846,6500368,18126.84828,1854232277.0330112,0,BTCUSDT
2025-11-06,103885.16,104200.0,100300.95,101346.04,25814.62139,2025-11-06 23:59:59.999,2641767846.305827,5755001,11972.54796,1225474173.0204284,0,BTCUSDT
2025-11-07,101346.04,104096.36,99260.86,103339.08,32059.50942,2025-11-07 23:59:59.999,3251112979.305884,6335759,16056.80582,1629564159.11658,0,BTCUSDT
2025-11-08,103339.09,103406.22,101454.0,102312.94,12390.77985,2025-11-08 23:59:59.999,1267165565.37527,2743819,5862.65977,599611355.3671467,0,BTCUSDT
2025-11-09,102312.95,105495.62,101400.0,104722.96,16338.97096,2025-11-09 23:59:59.999,1687020822.3668208,3404204,8224.94939,849620657.0869098,0,BTCUSDT
2025-11-10,104722.95,106670.11,104265.02,106011.13,22682.25673,2025-11-10 23:59:59.999,2400141664.389342,4710957,11595.81944,1226965888.74677,0,BTCUSDT
2025-11-11,106011.13,107500.0,102476.09,103058.99,24196.50718,2025-11-11 23:59:59.999,2532279071.0069213,5532149,10717.03395,1121890584.1997764,0,BTCUSDT
2025-11-12,103059.0,105333.33,100813.59,101654.37,20457.63906,2025-11-12 23:59:59.999,2108514405.260877,5314132,10155.72095,1047214063.138287,0,BTCUSDT
2025-11-13,101654.37,104085.01,98000.4,99692.02,36198.50771,2025-11-13 23:59:59.999,3654698026.540381,8125404,17250.22426,1742449117.5763607,0,BTCUSDT
2025-11-14,99692.03,99866.02,94012.45,94594.0,47288.14481,2025-11-14 23:59:59.999,4566085156.747208,9551025,21184.91518,2045542286.8634837,0,BTCUSDT
2025-11-15,94594.0,96846.68,94558.49,95596.24,15110.89391,2025-11-15 23:59:59.999,1449074019.0674856,4263558,7115.78198,682358960.754042,0,BTCUSDT
2025-11-16,95596.23,96635.11,93005.55,94261.44,23889.4051,2025-11-16 23:59:59.999,2261295524.8173394,5141394,10828.62752,1025540141.3111866,0,BTCUSDT
2025-11-17,94261.45,96043.0,91220.0,92215.14,39218.59806,2025-11-17 23:59:59.999,3674562070.2386065,8134322,18690.19245,1750979467.7862608,0,BTCUSDT
2025-11-18,92215.14,93836.01,89253.78,92960.83,39835.14769,2025-11-18 23:59:59.999,3641033186.3004575,8786593,20130.95957,1841176605.1418235,0,BTCUSDT
2025-11-19,92960.83,92980.22,88608.0,91554.96,32286.6376,2025-11-19 23:59:59.999,2925773651.2559576,6822174,15060.08451,1365200809.1745572,0,BTCUSDT
2025-11-20,91554.96,93160.0,86100.0,86637.23,39733.19073,2025-11-20 23:59:59.999,3548950335.0984216,7841395,18283.84047,1634256490.957432,0,BTCUSDT
2025-11-21,86637.22,87498.94,80600.0,85129.43,72256.12679,2025-11-21 23:59:59.999,6061348756.341564,11826480,34071.85828,2859133223.2240524,0,BTCUSDT
2025-11-22,85129.42,85620.0,83500.0,84739.74,14193.93263,2025-11-22 23:59:59.999,1197657354.9690385,4697593,6688.79428,564562148.9373932,0,BTCUSDT
2025-11-23,84739.75,88127.64,84667.57,86830.0,19734.46418,2025-11-23 23:59:59.999,1708685030.2798696,5063493,10406.51703,901210513.5204473,0,BTCUSDT
2025-11-24,86830.0,89228.0,85272.0,88300.01,24663.12795,2025-11-24 23:59:59.999,2150393686.9203186,6189156,12438.87518,1085485389.0234168,0,BTCUSDT
2025-11-25,88300.01,88519.99,86116.0,87369.96,19567.0411,2025-11-25 23:59:59.999,1708989000.038937,4838747,9423.17985,823123525.1402558,0,BTCUSDT
2025-11-26,87369.97,90656.08,86306.77,90484.02,21675.82239,2025-11-26 23:59:59.999,1916851896.6699688,4668280,10883.61063,962765375.8163832,0,BTCUSDT
2025-11-27,90484.01,91950.0,90089.91,91333.95,16833.50932,2025-11-27 23:59:59.999,1535778106.5787077,3920172,8898.35835,812005498.7594875,0,BTCUSDT
2025-11-28,91333.94,93092.0,90180.63,90890.7,18830.86012,2025-11-28 23:59:59.999,1721418035.0795596,4229754,8961.64712,820315728.918691,0,BTCUSDT
2025-11-29,90890.71,91165.65,90155.47,90802.44,7429.88291,2025-11-29 23:59:59.999,673725652.9787655,1677860,3359.04932,304614219.1452583,0,BTCUSDT
2025-11-30,90802.44,92000.01,90336.9,90360.0,9687.74175,2025-11-30 23:59:59.999,884051773.1655338,2154030,5002.96698,456606490.1203246,0,BTCUSDT
2025-12-01,90360.01,90417.0,83822.76,86286.01,34509.01227,2025-12-01 23:59:59.999,2977024047.2231607,7709685,15524.33346,1338718794.0013125,0,BTCUSDT
2025-12-02,86286.01,92307.65,86184.39,91277.88,28210.22732,2025-12-02 23:59:59.999,2519515177.662365,6397299,13512.33949,1206199898.2941513,0,BTCUSDT
2025-12-03,91277.88,94150.0,90990.23,93429.95,25712.52585,2025-12-03 23:59:59.999,2386223626.8613906,6733182,12993.19312,1206219500.4577343,0,BTCUSDT
